text,label,url
"Title: Breach at DocuSign Led to Targeted Email Malware Campaign [SEP] Content: DocuSign, a major provider of electronic signature technology, acknowledged today that a series of recent malware phishing attacks targeting its customers and users was the result of a data breach at one of its computer systems. The company stresses that the data stolen was limited to customer and user email addresses, but the incident is especially dangerous because it allows attackers to target users who may already be expecting to click on links in emails from DocuSign. San Francisco-based DocuSign warned on May 9 that it was tracking a malicious email campaign where the subject line reads, “Completed: docusign.com – Wire Transfer Instructions for recipient-name Document Ready for Signature.” The missives contained a link to a downloadable Microsoft Word document that harbored malware. A typical DocuSign email. Image: DocuSign. The company said at the time that the messages were not associated with DocuSign, and that they were sent from a malicious third-party using DocuSign branding in the headers and body of the email. But in an update late Monday, DocuSign confirmed that this malicious third party was able to send the messages to customers and users because it had broken in and stolen DocuSign’s list of customers and users. “As part of our ongoing investigation, today we confirmed that a malicious third party had gained temporary access to a separate, non-core system that allows us to communicate service-related announcements to users via email,” DocuSign wrote in an alert posted to its site. “A complete forensic analysis has confirmed that only email addresses were accessed; no names, physical addresses, passwords, social security numbers, credit card data or other information was accessed. No content or any customer documents sent through DocuSign’s eSignature system was accessed; and DocuSign’s core eSignature service, envelopes and customer documents and data remain secure.” The company is asking people to forward any suspic",2,https://krebsonsecurity.com/2017/05/breach-at-docusign-led-to-targeted-email-malware-campaign/
"Title: Broward Health discloses data breach affecting 1.3 million people [SEP] Content: The Broward Health public health system has disclosed a large-scale data breach incident impacting 1,357,879 individuals. Broward Health is a Florida-based healthcare system with over thirty locations offering a wide range of medical services and receives over 60,000 admissions per year. The healthcare system disclosed a cyberattack on October 15, 2021, when an intruder gained unauthorized access to the hospital's network and patient data. The organization discovered the intrusion four days later, on October 19, and immediately notified the FBI and the US Department of Justice. At the same time, all employees were advised to change their user passwords, and Broward Health contracted a third-party cybersecurity expert to help with the investigations. An investigation revealed that the threat actors gained access to patient's personal medical information, which may include the following items: Although Broward Health confirms that the network intruder has exfiltrated the above data, it notes that there is no evidence that the threat actors misused it. Notably, the intrusion point was determined to be a third-party medical provider who was permitted access to the system to provide their services. ""In response to this incident, Broward Health is taking steps to prevent recurrence of similar incidents, which include the ongoing investigation, a password reset with enhanced security measures across the enterprise, and the implementation of multifactor authentication for all users of its systems,"" explains the data breach notificaiton to affected patients and employees. ""We have also begun implementation of additional minimum-security requirements for devices that are not managed by Broward Health Information Technology that access our network, which will become effective in January 2022."" Due to the critical nature of the exposed data, recipients of the notices need to remain vigilant against all forms of communication. In addition,",2,https://www.bleepingcomputer.com/news/security/broward-health-discloses-data-breach-affecting-13-million-people/
"Title: Cylance confirms data breach linked to 'third-party' platform [SEP] Content: Cybersecurity company Cylance confirmed the legitimacy of data being sold on a hacking forum, stating that it is old data stolen from a ""third-party platform."" A threat actor known as Sp1d3r is selling this stolen data for $750,000, as first spotted by Dark Web Informer. The data allegedly includes a substantial amount of information, such as 34,000,000 customer and employee emails and personally identifiable information belonging to Cylance customers, partners, and employees. However, researchers have told BleepingComputer that the leaked samples appear to be old marketing data used by Cylance. BlackBerry Cylance told BleepingComputer that they're aware of and investigating the threat actor's claims but that no ""BlackBerry data and systems related to [..] customers, products, and operations have been compromised."" ""Based on our initial reviews of the data in question, no current Cylance customers are impacted, and no sensitive information is involved,"" the company added. ""The data in question was accessed from a third-party platform unrelated to BlackBerry and appears to be from 2015-2018, predating BlackBerry's acquisition of the Cylance product portfolio."" While the company has yet to reply to a follow-up request for more details regarding the name of the third-party platform that was breached to steal what it claims to be old data, the same threat actor is also selling 3TB of data from automotive aftermarket parts provider Advance Auto Parts, stolen after breaching the company's Snowflake account. BleepingComputer found a link to a Snowflake web management console located at that appears to be linked to Cylance. However, a BlackBerry spokesperson told BleepingComputer that the dashboard is ""old and invalid"" and ""BlackBerry Cylance is not a Snowflake customer."" Recent breaches at Santander, Ticketmaster, and QuoteWizard/Lendingtree have also been linked to Snowflake attacks. Ticketmaster's parent company, Live Nation, also conf",2,https://www.bleepingcomputer.com/news/security/cylance-confirms-data-breach-linked-to-third-party-platform/
"Title: Oxford City Council suffers breach exposing two decades of data [SEP] Content: Oxford City Council warns it suffered a data breach where attackers accessed personally identifiable information from legacy systems. The incident has also caused an ICT service disruption, as announced on the website, and although most of the impacted systems have been brought back online, the remaining backlogs may continue to cause delays. Oxford City Council is the local government authority responsible for managing critical public services, such as housing, planning, waste collection, environmental health, and elections, in Oxford, England. The authority serves a population of around 155,000 residents, but its influence extends further due to the city's international prominence through the University of Oxford, tourism, and research institutions. A statement on its website explains that attackers gained unauthorized access to some of its systems and databases, which host personal information. Based on the preliminary investigation, the impacted system contained information on former and current Council officers between 2001 and 2022. ""Unfortunately, the attackers were able to access some historic data on legacy systems,"" reads the statement published on the Oxford City Council website. ""We have now identified that people who worked on Oxford City Council-administered elections between 2001 and 2022, including poll station workers and ballot counters, may have had some personal details accessed."" The statement claims there's no evidence that the exposed data has been further disseminated. Also, there's no mention of citizen data having been compromised. BleepingComputer has contacted Oxford City Council to specify if citizen data was stored in the accessed databases, and we will update this post with their response. The organization says the investigation into the incident is still ongoing, and no signs of mass data extraction have been unearthed as of yet. Oxford City Council says it has begun individually notifying those c",2,https://www.bleepingcomputer.com/news/security/oxford-city-council-suffers-breach-exposing-two-decades-of-data/
"Title: Someone tried to poison Oldsmar’s water supply during hack, sheriff says [SEP] Content: The Tampa Bay Times e-Newspaper is a digital replica of the printed paper seven days a week that is available to read on desktop, mobile, and our app for subscribers only. To enjoy the e-Newspaper every day, please subscribe.",0,https://www.tampabay.com/news/pinellas/2021/02/08/someone-tried-to-poison-oldsmars-water-supply-during-hack-sheriff-says/
"Title: Canadian Man Gets 9 Months Detention for Serial Swattings, Bomb Threats [SEP] Content: A 19-year-old Canadian man was found guilty of making almost three dozen fraudulent calls to emergency services across North America in 2013 and 2014. The false alarms, two of which targeted this author — involved phoning in phony bomb threats and multiple attempts at “swatting” — a dangerous hoax in which the perpetrator spoofs a call about a hostage situation or other violent crime in progress in the hopes of tricking police into responding at a particular address with deadly force. Curtis Gervaisof Ottawa was 16 when he began his swatting spree, which prompted police departments across the United States and Canada to respond to fake bomb threats and active shooter reports at a number of schools and residences. Gervais, who taunted swatting targets using the Twitter accounts “ProbablyOnion” and “ProbablyOnion2,” got such a high off of his escapades that he hung out a for-hire shingle on Twitter, offering to swat anyone with the following tweet: Several Twitter usersapparentlytookhimuponthatoffer. On March 9, 2014, @ProbablyOnion started sending me rude and annoying messages on Twitter. A month later (and several weeks after blocking him on Twitter), I received a phone call from the local police department. It was early in the morning on Apr. 10, and the cops wanted to know if everything was okay at our address. Since this wasnot the first time someone had called in a fake hostage situation at my home, the call I received came from the police department’s non-emergency number, and they were unsurprised when I told them that the Krebs manor and all of its inhabitants were just fine. Minutes after my local police department received that fake notification, @ProbablyOnion was bragging on Twitter about swatting me, including me on his public messages: “You have 5 hostages? And you will kill 1 hostage every 6 times and the police have 25 minutes to get you $100k in clear plastic.” Another message read: “Good morning! Just di",1,https://krebsonsecurity.com/2017/09/canadian-man-gets-9-months-detention-for-serial-swattings-bomb-threats/
"Title: NBA alerts fans of a data breach exposing personal information [SEP] Content: The NBA (National Basketball Association) is notifying fans of a data breach after some of their personal information, ""held"" by a third-party newsletter service, was stolen. The NBA is a global sports and media organization that manages five professional sports leagues, including the NBA, WNBA, Basketball Africa League, NBA G League, and NBA 2K League. NBA programming and games are broadcasted worldwide, in over 215 countries and territories, spanning over 50 languages. In ""Notice of Cybersecurity Incident"" emails sent to an unknown number of fans, NBA says its systems were not breached, and the affected fans' credentials were not impacted in this incident. However, some fans' personal information was stolen. ""We recently became aware that an unauthorized third party gained access to, and obtained a copy of, your name and email address, which was held by a third-party service provider that helps us communicate via email with fans who have shared this information with the NBA,"" the NBA says. ""There is no indication that our systems, your username, password, or any other information you have shared with us have been impacted."" After being informed of the incident, the NBA is working with the third-party service provider as part of an ongoing investigation and has hired the services of external cybersecurity experts to analyze the scope of the impact. The NBA also warned that, due to the sensitive nature of the data involved, there is an increased likelihood that the affected individuals might be targeted in phishing attacks and various scams. Affected fans were strongly encouraged to remain vigilant when opening suspicious emails or communications that may seem to originate from the NBA or its partners. ""Given the nature of the information, there may be heightened risk of you receiving 'phishing' emails from email accounts appearing to be affiliated with the NBA, or of being targeted by other so-called 'social engineering' attacks",2,https://www.bleepingcomputer.com/news/security/nba-alerts-fans-of-a-data-breach-exposing-personal-information/
"Title: Hackers use RMM tools to breach freighters and steal cargo shipments [SEP] Content: Threat actors are targeting freight brokers and trucking carriers with malicious links and emails to deploy remote monitoring and management tools (RMMs) that enable them to hijack cargo and steal physical goods. Researchers tracked the activity to June, but they found evidence of these types of campaigns delivering NetSupport and ScreenConnect since January. According to email security firm Proofpoint, these attacks is becoming more popular, with nearly two dozen campaigns recorded since August, each of them sending up to a thousand messages. The targets are primarily North American entities; however, Proofpoint has also observed similar activity in Brazil, Mexico, India, Germany, Chile, and South Africa. Cargo theft involves stealing commercial shipments by hijacking trucks or trailers in transit, by re-routing them, or by impersonating legitimate carriers. The goods are then redirected to fraudulent pickup points. The National Insurance Crime Bureau (NICB) estimates cargo theft losses in the U.S. to $35 billion annually. Today, cybercriminals focus on exploiting gaps in the digital segment of the supply chain that helps companies move goods more efficiently. The attacker’ primary goal is to install RMMs like ScreenConnect, SimpleHelp, PDQ Connect, Fleetdeck, N-able, and LogMeIn Resolve on the target companies’ systems, which give them full remote control, reconnaissance, and credential harvesting capabilities. To achieve this goal, they use compromised accounts for load boards to post fraudulent freight listings, or breach broker and dispatcher email accounts, and then hijack email threads to lead victims to a malicious URL. According to the researchers, the threat actor achieves their goal by sending emails directly to asset-based carriers, freight brokerage firms, and integrated supply-chain providers, but this occurred mostly for larger entities. At this stage, social engineering plays a key role, where the attackers ",2,https://www.bleepingcomputer.com/news/security/hackers-use-rmm-tools-to-breach-freighters-and-steal-cargo-shipments/
"Title: Panasonic discloses data breach after network hack [SEP] Content: Japanese multinational conglomerate Panasonic disclosed a security breach after unknown threat actors gained access to servers on its network this month. ""Panasonic Corporation has confirmed that its network was illegally accessed by a third party on November 11, 2021,"" the company said in a press release issued Friday. ""As the result of an internal investigation, it was determined that some data on a file server had been accessed during the intrusion."" Panasonic has reported the incident to the relevant authorities and has taken measures to prevent access to its network from external servers. The Japanese electronics giant has also hired the services of a third party to investigate the attack—which Panasonic tagged as a ""leak"" in the press release—and find if any of the data accessed during the intrusion includes customer personal information. ""In addition to conducting its own investigation, Panasonic is currently working with a specialist third-party organization to investigate the leak and determine if the breach involved customers' personal information and/or sensitive information related to social infrastructure,"" the company added. A Panasonic spokesperson was not immediately available for comment when contacted by BleepingComputer. Panasonic would like to express its sincerest apologies for any concern or inconvenience resulting from this incident. — Panasonic While the press release issued doesn't include many details regarding the attack timeline, Japanese outlets, including Mainichi and NHK, said the attackers had access to Panasonic's servers between June and November, as first reported by The Record. Furthermore, they gained access to customer and employee sensitive information until Panasonic spotted the malicious activity on November 11. The attack on Panasonic's server is part of a long series of other incidents involving Japanese companies in recent years. Kawasaki, NEC, Mitsubishi Electric, and defense contractors Kobe Stee",2,https://www.bleepingcomputer.com/news/security/panasonic-discloses-data-breach-after-network-hack/
"Title: Google tells users of some Android phones: Nuke voice calling to avoid infection [SEP] Content: If your device runs Exynos chips, be very, very concerned. Google is urging owners of certain Android phones to take urgent action to protect themselves from critical vulnerabilities that give skilled hackers the ability to surreptitiously compromise their devices by making a specially crafted call to their number. It’s not clear if all actions urged are even possible, however, and even if they are, the measures will neuter devices of most voice-calling capabilities. The vulnerability affects Android devices that use the Exynos Modem 5123, Exynos Modem 5300, Exynos 980, Exynos 1080, Exynos Auto T5123 chipsets made by Samsung’s semiconductor division. Vulnerable devices include the Pixel 6 and 7, international versions of the Samsung Galaxy S22, various mid-range Samsung phones, the Galaxy Watch 4 and 5, and cars with the Exynos Auto T5123 chip. These devices are ONLY vulnerable if they run the Exynos chipset, which includes the baseband that processes signals for voice calls. The US version of the Galaxy S22 runs a Qualcomm Snapdragon chip. A bug tracked as CVE-2023-24033 and three others that have yet to receive a CVE designation make it possible for hackers to execute malicious code, Google’s Project Zero vulnerability teamreportedon Thursday. Code-execution bugs in the baseband can be especially critical because the chips are endowed with root-level system privileges to ensure voice calls work reliably. “Tests conducted by Project Zero confirm that those four vulnerabilities allow an attacker to remotely compromise a phone at the baseband level with no user interaction, and require only that the attacker know the victim’s phone number,” Project Zero’s Tim Willis wrote. “With limited additional research and development, we believe that skilled attackers would be able to quickly create an operational exploit to compromise affected devices silently and remotely.” Earlier this month, Google released a patch for v",0,https://arstechnica.com/information-technology/2023/03/critical-vulnerabilities-allow-some-android-phones-to-be-hacked/
